iter	Logloss
0	0.5895880317
1	0.5091634432
2	0.4398551193
3	0.393252136
4	0.3564111209
5	0.32797576
6	0.3031656115
7	0.2859798951
8	0.2719460697
9	0.2596109368
10	0.247986108
11	0.237393305
12	0.2304580578
13	0.2233017891
14	0.2165182305
15	0.2111991499
16	0.2058462075
17	0.2011073343
18	0.1966342448
19	0.1922018643
20	0.1885846191
21	0.1852528157
22	0.182592119
23	0.1804820907
24	0.1784550087
25	0.176409284
26	0.1737651412
27	0.172148017
28	0.1706428414
29	0.1683463803
30	0.1651311072
31	0.1622338983
32	0.1605810921
33	0.1589289933
34	0.1563284991
35	0.1543614639
36	0.153289221
37	0.1514745365
38	0.1500562244
39	0.148032815
40	0.1459215532
41	0.1443738249
42	0.1434060267
43	0.1421101908
44	0.1408945207
45	0.1386869175
46	0.1373358862
47	0.1358940136
48	0.1341308642
49	0.1321330208
50	0.1313392457
51	0.1303068247
52	0.1296165725
53	0.1285658223
54	0.1271265741
55	0.1263961026
56	0.1253361612
57	0.1239769032
58	0.122395681
59	0.1215733854
60	0.1201233716
61	0.1194440081
62	0.1182602049
63	0.1172466781
64	0.1168484447
65	0.1158508652
66	0.1149791177
67	0.1141398789
68	0.1134526935
69	0.1121517512
70	0.1106273384
71	0.1090641563
72	0.1079756907
73	0.1073798277
74	0.106596172
75	0.1059684391
76	0.1048554106
77	0.1044365421
78	0.1029699983
79	0.1025614831
80	0.1020203065
81	0.1010905872
82	0.09977322253
83	0.09833363576
84	0.0977874982
85	0.09659612917
86	0.09461403067
87	0.09407248713
88	0.09266304242
89	0.09220964801
90	0.09103954834
91	0.09010026066
92	0.08887776398
93	0.08806437386
94	0.08683422933
95	0.08578023869
96	0.08563889378
97	0.08499034807
98	0.08397175722
99	0.08325792053
100	0.08231894443
101	0.08158383443
102	0.08058158916
103	0.07978579004
104	0.0787886561
105	0.07855936767
106	0.07815351119
107	0.07636682546
108	0.07556069387
109	0.0748509352
110	0.07450493145
111	0.07403413893
112	0.07265545485
113	0.07208667908
114	0.071504982
115	0.07043869472
116	0.0703580147
117	0.06995449798
118	0.06942339997
119	0.06856137535
120	0.06816494807
121	0.06777273067
122	0.06741786676
123	0.06616154337
124	0.06542000302
125	0.06463741152
126	0.0643830256
127	0.06404212007
128	0.06366039992
129	0.06285751251
130	0.06242998241
131	0.06199073079
132	0.06134908163
133	0.06045983252
134	0.06005694253
135	0.05922999271
136	0.05878216673
137	0.0582902776
138	0.05806078129
139	0.05797094936
140	0.05740883133
141	0.05713437283
142	0.05666674714
143	0.05620346692
144	0.05577939985
145	0.05523681265
146	0.05435009923
147	0.05396003518
148	0.05359952539
149	0.0532101336
150	0.05271990932
151	0.05209784128
152	0.05157493832
153	0.05079034019
154	0.05029879027
155	0.04978764961
156	0.04943597541
157	0.04927667414
158	0.04893308803
159	0.04870517831
160	0.04830126012
161	0.04818716392
162	0.04789002213
163	0.047234397
164	0.04709085834
165	0.0468940109
166	0.04637758578
167	0.04621053304
168	0.04580064107
169	0.04576856346
170	0.04559369307
171	0.04533585103
172	0.04500190896
173	0.04455990559
174	0.04431595647
175	0.04368112078
176	0.0431932166
177	0.04293459861
178	0.04266218799
179	0.04196443999
180	0.04154338156
181	0.0410820919
182	0.04082587727
183	0.04052409509
184	0.04026405658
185	0.03989113044
186	0.03957117598
187	0.03942293072
188	0.03935808839
189	0.03918169703
190	0.03900641417
191	0.03864870204
192	0.0383550554
193	0.0380605442
194	0.03793673925
195	0.03774943633
196	0.0375684357
197	0.03746946476
198	0.03729209252
199	0.03715772362
200	0.03692829706
201	0.03679843931
202	0.03652800734
203	0.03643163925
204	0.03626087243
205	0.03607625737
206	0.03575777997
207	0.03511690026
208	0.0349358638
209	0.03472551108
210	0.03450136628
211	0.03420807705
212	0.03398132292
213	0.03374350152
214	0.03359267698
215	0.0333617169
216	0.0333033742
217	0.03325078765
218	0.03308114229
219	0.03289754561
220	0.0327780109
221	0.03274265302
222	0.03269310064
223	0.03242662249
224	0.03223585204
225	0.03199829797
226	0.03167952054
227	0.03147382794
228	0.03118133041
229	0.03091400193
230	0.03075761746
231	0.03061807588
232	0.03051768774
233	0.03025593853
234	0.03017418253
235	0.03005925216
236	0.02994523862
237	0.02973929979
238	0.02963765609
239	0.02951926086
240	0.02932562217
241	0.029145896
242	0.02878215022
243	0.02861801928
244	0.02840805857
245	0.02820936555
246	0.02809494133
247	0.02788632195
248	0.02773151134
249	0.02759662825
250	0.02747607798
251	0.02727059352
252	0.02714116844
253	0.02702653815
254	0.02691856108
255	0.02674768996
256	0.02662665009
257	0.02645323928
258	0.02625452971
259	0.02607131232
260	0.02596839882
261	0.02574090618
262	0.02564654595
263	0.02549077032
264	0.02532096373
265	0.02519740594
266	0.02491818812
267	0.02478278578
268	0.02449737347
269	0.02431530703
270	0.02417848154
271	0.02403250543
272	0.02379660057
273	0.02365342922
274	0.02347948644
275	0.02335463274
276	0.02326336337
277	0.02311160979
278	0.02301157429
279	0.02297662037
280	0.02290087948
281	0.02279483439
282	0.02267925688
283	0.02259397443
284	0.02234934397
285	0.0221730299
286	0.02204468439
287	0.02171632867
288	0.02162342132
289	0.02147727746
290	0.02132977497
291	0.02125809165
292	0.02118490934
293	0.02102341896
294	0.02095966384
295	0.02087795421
296	0.02070902602
